taxid,ko
11575,K25345
273352,K25345
11577,K25345
11582,K25346
159141,K25346
159150,K25346
35306,K25346
1368616,K25346
1406134,K25346
1495866,K25346
1590836,K25346
35304,K25346
118655,K25346
192199,K25346
192196,K25346
35310,K25346
35316,K25346
35312,K25346
292278,K25346
348013,K25346
307164,K25346
1867943,K25346
1552846,K25346
1678227,K25346
35308,K25346
611709,K25346
1678224,K25346
1678225,K25346
35313,K25346
1933272,K25346
1678234,K25346
80939,K25346
35314,K25346
80938,K25346
80941,K25346
35319,K25346
273350,K25346
552554,K25346
442712,K25346
999729,K25346
1623310,K25346
1678231,K25346
35318,K25346
35511,K25346
35514,K25346
35515,K25346
45767,K25346
45768,K25346
80935,K25346
80940,K25346
80942,K25346
150058,K25346
159138,K25346
159140,K25346
159144,K25346
159145,K25346
159147,K25346
159148,K25346
159151,K25346
159152,K25346
273341,K25346
273345,K25346
273347,K25346
273349,K25346
273354,K25346
273355,K25346
273356,K25346
273358,K25346
273360,K25346
611707,K25346
1133363,K25346
1138490,K25346
1821545,K25346
1856565,K25346
2303488,K25346
70566,K25346
35305,K25346
159143,K25346
35516,K25346
11580,K25346
1642852,K25346
45270,K25346
11575,K25346
273352,K25346
11577,K25346
186540,K25333
2010960,K25333
186538,K25333
565995,K25333
186541,K25333
186539,K25333
186540,K25334
2010960,K25334
186538,K25334
565995,K25334
186541,K25334
186539,K25334
186540,K25335
2010960,K25335
186538,K25335
565995,K25335
186541,K25335
186539,K25335
186540,K24534
2010960,K24534
186538,K24534
565995,K24534
186541,K24534
186539,K24534
11269,K25336
11269,K25336
11269,K25337
11269,K25337
11269,K25338
11269,K25338
11269,K24535
11269,K24535
1513237,K24533
1715291,K21924
1881951,K21924
1715290,K21924
1548715,K21924
1714621,K21924
1715293,K21924
1715288,K21924
1884917,K21924
1714622,K21924
1885248,K21924
1548718,K21924
1548719,K21924
1884879,K21924
28274,K19247
92129,K19247
204987,K19247
2560602,K19247
11191,K19247
11215,K19247
11224,K19247
2847089,K19247
2560317,K19247
862945,K19247
798074,K19247
1221391,K19247
1117633,K19247
381543,K19247
2560315,K19247
2560320,K19247
2560327,K19247
2560326,K19247
1357321,K19247
1261101,K19247
2560310,K19247
2907837,K19247
2905673,K19247
322067,K19247
341053,K19247
